frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
86,6.0,[1136.0082051113684 1144.2767651572244 1710.5720359830905 1600.3279807621984],[1341.352294921875 1412.2156982421875 1516.68212890625 1503.0345458984375],0.2791777551174164,GX15OCJ,0.19433398464720192
90,5.0,[2219.9604215998847 1374.676857783793 2908.464093721596 2061.510105455573],[2468.259765625 1841.1424560546875 2669.379150390625 1935.946044921875],0.6752719879150391,CT51VSU,0.12837560530701447
91,5.0,[2219.218307547159 1374.9055510713251 2908.9569241610557 2063.2425729554234],[2468.211181640625 1841.126220703125 2669.394287109375 1935.8961181640625],0.6754253506660461,CT51VSU,0.15987823895983785
93,5.0,[2222.810635067579 1381.0167002410062 2914.3506480707592 2070.8768035086105],[2472.53173828125 1853.2958984375 2673.91845703125 1951.1434326171875],0.6535643339157104,NI51YSU,0.022881069009750538
96,5.0,[2224.491087942167 1392.5538235296679 2920.549436721184 2084.9954854791577],[2475.7998046875 1867.566650390625 2675.23681640625 1965.28564453125],0.6535919904708862,MU51VSU,0.1968159103382932
98,5.0,[2223.94054277917 1398.4786832453444 2924.6194071061045 2089.226903768084],[2476.93359375 1870.07666015625 2674.9921875 1966.9163818359375],0.6557536125183105,MT51VSU,0.24107502632458075
99,5.0,[2227.0724995082237 1403.6301433310168 2931.961432098572 2093.505304070629],[2485.570556640625 1880.0841064453125 2676.785400390625 1972.3472900390625],0.6523957848548889,IJ51VSU,0.074120559350082
113,5.0,[2236.9217762351154 1447.9232407070906 2956.285736530501 2142.1419395441044],[2489.14892578125 1928.384033203125 2700.0908203125 2034.3973388671875],0.6508618593215942,NT51VSU,0.24469872448346294
124,5.0,[2235.9187682591937 1478.1295663161966 2950.6503180018117 2145.1746806572864],[2507.188232421875 1974.3179931640625 2719.234130859375 2079.54931640625],0.712534487247467,LT51VSU,0.29714393795015276
124,6.0,[1076.1013067550757 1219.1734857012111 1699.9097847431885 1706.0492200347553],[1275.5904541015625 1504.033447265625 1477.625 1600.99365234375],0.5024719834327698,GX15OGJ,0.36212702159868637
126,6.0,[1077.7625991268878 1227.5114497879815 1695.933989290877 1712.407383057999],[1281.327880859375 1507.1455078125 1484.6280517578125 1614.561767578125],0.4543132483959198,GX15OGJ,0.13534097150548957
127,6.0,[1078.681687547304 1229.4090558473808 1694.8052567265902 1713.5867562616763],[1281.25390625 1506.971923828125 1484.6148681640625 1614.58740234375],0.4523129165172577,GX15OGJ,0.3357624304235617
128,6.0,[1078.4375423415795 1231.5409825929596 1695.9231082178053 1715.7537957487175],[1286.3935546875 1513.0330810546875 1472.5836181640625 1611.5687255859375],0.46328383684158325,GX15OCJ,0.1811600401325067
130,5.0,[2256.123612743621 1499.6119792397405 2970.5586481842743 2145.817803260246],[2513.5791015625 1999.017822265625 2727.430908203125 2109.072998046875],0.7027348279953003,NV51VSU,0.47568401779643665
131,5.0,[2253.8754554577995 1501.2798734089113 2970.284930434075 2146.8391308809096],[2519.462646484375 2007.69482421875 2722.99755859375 2108.734619140625],0.6916369795799255,LM51VSU,0.11052116101621717
140,6.0,[1063.8126319536786 1255.507050727602 1690.3122261017056 1752.0883335923538],[1274.463623046875 1545.6837158203125 1479.4014892578125 1648.6754150390625],0.46369773149490356,GX15OGJ,0.5523471931681608
160,6.0,[1028.7355810426645 1295.8175451801617 1681.7812399393072 1810.911739790682],[1253.6719970703125 1608.7459716796875 1453.45068359375 1709.8114013671875],0.5749242901802063,GX15OGJ,0.3987418710933664
161,6.0,[1024.6590534654083 1300.9094401062428 1680.0074194643284 1817.7241369495498],[1236.796142578125 1612.4725341796875 1437.082763671875 1717.57177734375],0.5635102987289429,GX15OGJ,0.25561645046441955
164,6.0,[1013.6461476271747 1307.956804911798 1677.7702891322679 1825.8139197039177],[1235.710693359375 1620.867919921875 1454.1741943359375 1722.19482421875],0.5201787948608398,GX15OGJ,0.4211034839582857
165,6.0,[1015.4395966074181 1312.5383837678119 1679.1757633381499 1831.7689503228803],[1235.780517578125 1626.899169921875 1456.902099609375 1724.9840087890625],0.4700201749801636,GX15OGJ,0.3426952291159017
176,6.0,[993.1588778009719 1333.6057829162523 1685.3105359036795 1871.837448870957],[1231.7197265625 1665.984375 1431.3197021484375 1763.11083984375],0.39640289545059204,GX15OGJ,0.3276789823887012
180,6.0,[996.4236549369505 1344.8718620356556 1688.215543708022 1883.3294166662174],[1233.9859619140625 1684.3671875 1424.971923828125 1777.1617431640625],0.3992774188518524,GX15OGJ,0.3839089037451264
183,6.0,[990.1362998412787 1356.0796614098958 1685.351715238763 1896.6308097686297],[1226.5518798828125 1686.96875 1432.091064453125 1790.4478759765625],0.49143192172050476,GX15OGJ,0.27598372056981607
184,6.0,[985.2049865201186 1360.931265460806 1685.7290273215806 1900.697052696113],[1234.5523681640625 1688.8861083984375 1419.3214111328125 1788.8170166015625],0.42620062828063965,GX15OGJ,0.3195147373777095
185,6.0,[983.831906955908 1362.9831332854098 1686.796669365005 1902.5288827921947],[1224.240966796875 1689.5321044921875 1421.5048828125 1789.9617919921875],0.5158774852752686,GX15OGJ,0.4068252123571826
186,6.0,[978.6093358787803 1365.3871870208066 1686.1367267364885 1904.6014080496354],[1214.800048828125 1692.0374755859375 1430.1302490234375 1795.1309814453125],0.5114191174507141,GX15OCJ,0.4396138721962929
187,6.0,[975.7748835432601 1366.2718153998862 1686.6441744651859 1905.242434331421],[1214.9454345703125 1692.15087890625 1430.076904296875 1795.046630859375],0.5106580853462219,GX15OCJ,0.4396138721962929
190,1.0,[2057.281507118937 1084.7887415588395 2544.651655654151 1510.7643088832017],[2225.782470703125 1328.0927734375 2399.338623046875 1415.671875],0.29218804836273193,SF05JEO,0.14227436672314225
192,6.0,[966.8167988414652 1379.7119099502931 1682.3926467811611 1929.8032554592917],[1215.3994140625 1717.8358154296875 1427.2415771484375 1820.7352294921875],0.513333261013031,GX15OGJ,0.2953470010245242
193,6.0,[966.2816974758123 1380.9170168074575 1682.0230731263025 1932.6217853274961],[1215.6829833984375 1717.771728515625 1427.416259765625 1820.769287109375],0.5143585801124573,GX15OGJ,0.29455307351464105
194,6.0,[964.6579102589772 1381.8935749493821 1681.602827146467 1936.0527251470803],[1217.5123291015625 1721.448486328125 1423.7462158203125 1819.420166015625],0.49065345525741577,GX15OGJ,0.34541786611159786
195,6.0,[964.6306175692432 1387.3329960495528 1681.3856558306463 1942.5097689727393],[1211.4521484375 1731.8885498046875 1415.7777099609375 1830.79296875],0.5005409717559814,GX15OCJ,0.3299159223777401
200,6.0,[955.4331367491316 1405.102717372819 1675.8344346030206 1961.7083515759132],[1202.299560546875 1743.7584228515625 1418.2852783203125 1845.04541015625],0.5204886794090271,GX15OCJ,0.33262761756930154
212,8.0,[1168.7755212529164 1047.9439927118633 1634.9598922018472 1442.742799651262],[1332.2901611328125 1276.0113525390625 1464.5003662109375 1348.1103515625],0.34873324632644653,KN05ZZN,0.20043888587971742
220,8.0,[1154.0737577501764 1052.1662543273656 1625.761180018957 1464.9587318361346],[1323.043212890625 1282.4935302734375 1460.5023193359375 1353.0693359375],0.29236555099487305,KN35ZZN,0.13537233255176723
222,6.0,[927.572725448855 1477.3053463715723 1658.8530919506054 2059.2256435001673],[1171.2236328125 1831.73291015625 1390.322021484375 1943.1397705078125],0.5646907687187195,GX15OGJ,0.500813182222104
