frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
338,1,2077.86236210054 1355.3537742381823 2693.196612427498 1896.344028656499,2280.2698974609375 1681.4514770507812 2525.0965576171875 1788.4802856445312,0,0,0
339,1,2079.553159126129 1357.178314415222 2694.7747694967147 1898.1065967373772,2280.816162109375 1683.2259521484375 2526.400146484375 1794.0926513671875,0.502042829990387,AP05JED,0.35869193578091996
340,1,2082.447213096564 1360.0492960084662 2696.6833738610767 1900.0147568259295,2275.61279296875 1691.297607421875 2524.760009765625 1793.296142578125,0.47896793484687805,AP05JED,0.44650253884213353
341,1,2080.8672013479036 1363.6985184096952 2697.3457267741737 1904.0263017468415,2279.1719970703125 1694.4236145019531 2526.6622924804688 1794.636962890625,0,0,0
342,1,2079.287189599243 1367.3477408109245 2698.0080796872708 1908.0378466677535,2282.731201171875 1697.5496215820312 2528.5645751953125 1795.977783203125,0,0,0
343,1,2077.707177850583 1370.9969632121538 2698.6704326003683 1912.0493915886655,2286.2904052734375 1700.6756286621094 2530.4668579101562 1797.318603515625,0,0,0
344,1,2076.1271661019223 1374.6461856133828 2699.3327855134653 1916.0609365095775,2289.849609375 1703.8016357421875 2532.369140625 1798.659423828125,0.5499966740608215,AP05JEO,0.2870664319414791
345,1,2075.495014469102 1378.0104283468506 2702.1430982299307 1921.1480459730712,2283.077880859375 1701.6126708984375 2531.286865234375 1797.2347412109375,0.3047294020652771,AP05JEO,0.6190633522897088
346,1,2077.6499093176185 1379.926708661854 2704.7338394977555 1924.5947158355023,2304.10791015625 1707.8653564453125 2531.322509765625 1811.7923583984375,0.46334215998649597,AP05JEQ,0.19379205383621406
347,1,2081.655575584402 1383.3175482667775 2706.9870752559273 1928.5642276835028,2300.421875 1712.231689453125 2532.9349365234375 1811.2086181640625,0,0,0
